,POD,RATE,COM_ID,PARTY_ID,PARTY_ID_EN,PARTY_NAME,CSL_ID,ETA_ETD_NO,ETD_POL_D,POD_ID,CNTR_ID,CNTR_SIZE,CNTR_TYPE,ENCODED_TYPE,POD_ID_EN
0,2023-01-01,500,010,01001668,1001668,CWT GLOBELINK COLOMBO PVT LTD,ECS010221100213,20230101,LKCMB,COLOMBO,010000287940,40,HC,1,2432422134.0
1,2023-01-02,2371,010,01005136,1005136,MONDIALE FREIGHT SERVICES LIMITED-AUCKLAND,ECS010221100385,20230102,NZAKL,AUCKLAND,010000292272,40,HC,1,2397847664.0
2,2023-01-03,1680,010,010005256,10005256,GLOBELINK VIETNAM CO. LTD-HO CHI MINH,ECS010221200407,20230103,VNCLI,"HOCHIMINH CAT LAI,VIETNAM",010000299456,40,HC,1,2047096572.0
3,2023-01-04,1330,010,010021426,10021426,F.S. MACKENZIE LTD - GEORGIA,ECS010221100328,20230104,GEPTI,POTI,010000296878,40,HC,1,1304690338.0
4,2023-01-05,1100,010,010006300,10006300,CRAFT ARGENTINA SA,ECS010221200074,20230105,ARBUE,BUENOS AIRES,010000303569,40,HC,1,3071034958.0
5,2023-01-06,300,010,010004286,10004286,"GLOBELINK KOREA CO., LTD",ECS010221200061,20230106,KRPUS,BUSAN,010000309272,40,HC,1,2904901796.0
6,2023-01-07,500,010,010021593,10021593,"GLOBELINK (THAILAND) CO., LTD",ECS010221200317,20230107,THBKK,BANGKOK,010000311176,40,HC,1,2469764333.0
7,2023-01-08,2000,010,010005255,10005255,GLOBELINK VIETNAM CO. LTD-HAIPHONG,ECS010221200412,20230108,VNHPH,HAIPHONG,010000307259,40,HC,1,2507197949.0
8,2023-01-09,2500,010,01002787,1002787,GLOBELINK W.W. INDIA PVT LTD - MUMBAI,ECS010221100501,20230109,INNSA,NHAVA SHEVA,010000284282,40,HC,1,1141236158.0
9,2023-01-10,1265,010,010021727,10021727,"GLOBELINK NVOCC PHILS.,INC. - MANILA",ECS010221200190,20230110,PHMNN,MANILA (NORTH HARBOUR),010000302815,40,HC,1,1131641657.0
10,2023-01-11,2000,010,01002777,1002777,GLOBELINK INTERNATIONAL PTY LTD-FREMANTLE,ECS010221200363,20230111,AUFRE,FREMANTLE (PERTH),010000302985,40,HC,1,1531973243.0
