,POD,COM_ID,CSL_ID,CNTR_ID,ENCODED_TERM,COST_TERM,POD_ID,ETD_POL_D,PARTY_ID,PARTY_ID_EN,PARTY_NAME,POD_ID_EN,ETA_ETD_NO,CNTR_SIZE,ENCODED_TYPE,CNTR_TYPE,RATE
0,2005-07-15,010,ECS01050600041,CTNR010050700351,2,FP,AUCKLAND,NZAKL,01005136,1005136,MONDIALE FREIGHT SERVICES LIMITED-AUCKLAND,-2147483648,20050715,40,4,HC NOR,200
1,2005-07-16,010,ECS01050600336,CTNR010050700365,2,FP,HAIPHONG,VNHPH,010003662,10003662,S-ASIA CONTAINER LINE PTE LTD,-2147483648,20050716,40,1,HC,930
2,2005-07-17,010,ECS01050600231,CTNR010050700459,2,FP,XIAMEN,CNXMN,01001118,1001118,CASH-FORWARDER A/C,974373682,20050717,20,2,GP,650
3,2005-07-18,010,ECS01050600103,CTNR010050700442,2,FP,PIRAEUS,GRPIR,01001118,1001118,CASH-FORWARDER A/C,-2147483648,20050718,40,1,HC,2275
4,2005-07-19,010,ECS01050600198,CTNR010050700543,2,FP,HAMBURG,DEHAM,01008827,1008827,YANG MING (SINGAPORE) PTE. LTD.,518572916,20050719,40,2,GP,1350
5,2005-07-20,010,ECS01050600402,CTNR010050700564,2,FP,COLOMBO,LKCMB,01001118,1001118,CASH-FORWARDER A/C,-2147483648,20050720,40,1,HC,1400
6,2005-07-21,010,ECS01050600038,CTNR010050700596,2,FP,ASHDOD,ILASH,01008827,1008827,YANG MING (SINGAPORE) PTE. LTD.,361482078,20050721,40,2,GP,1800
7,2005-07-22,010,ECS01050600339,CTNR010050700677,2,FP,SANTOS,BRSSZ,01003720,1003720,JARDINE PORT AGENCIES,1953456901,20050722,40,4,HC NOR,1125
8,2005-07-23,010,ECS01050600371,CTNR010050700753,2,FP,MOJI,JPMOJ,01001118,1001118,CASH-FORWARDER A/C,-2147483648,20050723,20,2,GP,675
9,2005-07-24,010,ECS01050600305,CTNR010050700741,2,FP,CAPETOWN,ZACPT,01001118,1001118,CASH-FORWARDER A/C,1950604275,20050724,40,4,HC NOR,650
